Episode,Total_Reward,Epsilon,Average_Loss
1,-24064.0,0.995,3002.7956727206406
2,-22971.0,0.990025,1820.5849015129936
3,-23439.0,0.985074875,1150.168457116021
4,-29385.0,0.9801495006250001,1121.1773002200657
5,-21121.0,0.9752487531218751,1009.2534405178494
6,-27758.0,0.9703725093562657,946.845619752672
7,-26824.0,0.9655206468094844,1744.8356239318848
8,-25747.0,0.960693043575437,1588.6276975843641
9,-22760.0,0.9558895783575597,1464.778880988227
10,-31948.0,0.9511101304657719,1407.3552541097006
11,-29792.0,0.946354579813443,1335.571996392144
12,-17799.0,0.9416228069143757,2378.4016877916124
13,-21947.0,0.9369146928798039,2180.0661799112954
14,-34975.0,0.9322301194154049,2133.427042304145
15,-29161.0,0.9275689688183278,2067.7287991841636
16,-21912.0,0.9229311239742362,2062.4774543762205
17,-23000.0,0.918316468354365,3066.0424777560766
18,-15915.0,0.9137248860125932,2874.3692574395072
19,-18957.0,0.9091562615825302,2810.1606374104817
20,-17960.0,0.9046104802746175,2681.431967756483
21,-20961.0,0.9000874278732445,2667.9278060913084
22,-22396.0,0.8955869907338783,3324.976759507921
23,-23945.0,0.8911090557802088,3291.846623738607
24,-19999.0,0.8866535105013078,3218.4237330118817
25,-21352.0,0.8822202429488013,3201.066811794705
26,-23386.0,0.8778091417340573,3149.4951400756836
27,-27042.0,0.8734200960253871,3587.433455403646
28,-20612.0,0.8690529955452602,3541.83265753852
29,-24923.0,0.8647077305675338,3471.602324930827
30,-29660.0,0.8603841919146962,3514.0078270806207
31,-20086.0,0.8560822709551227,3430.421816338433
32,-24964.0,0.851801859600347,3653.665533955892
33,-19744.0,0.8475428503023453,3666.871795484755
34,-20566.0,0.8433051360508336,3597.1565368652346
35,-22387.0,0.8390886103705794,3606.1129257202147
36,-17160.0,0.8348931673187264,3559.977673339844
37,-29663.0,0.8307187014821328,3731.6475726657445
38,-24690.0,0.8265651079747222,3739.094512430827
39,-15509.0,0.8224322824348486,3692.5026245117188
40,-14782.0,0.8183201210226743,3669.0613906860353
41,-22574.0,0.8142285204175609,3586.81681060791
42,-18374.0,0.810157377815473,3552.9927266438804
43,-17567.0,0.8061065909263957,3528.4932362874347
44,-25955.0,0.8020760579717637,3504.646261766222
45,-16564.0,0.798065677681905,3570.1677005343968
46,-20515.0,0.7940753492934954,3538.046980794271
47,-18335.0,0.7901049725470279,3645.9720567491318
48,-21877.0,0.7861544476842928,3583.2200425889755
49,-16072.0,0.7822236754458713,3536.4707556830513
50,-15061.0,0.778312557068642,3543.685441250271
51,-17413.0,0.7744209942832988,3545.136524963379
52,-15825.0,0.7705488893118823,3357.4559970431856
53,-20777.0,0.7666961448653229,3369.277054341634
54,-15937.0,0.7628626641409962,3236.178759765625
55,-14191.0,0.7590483508202912,3300.6869091457793
56,-17529.0,0.7552531090661897,3146.186695437961
57,-14503.0,0.7514768435208588,3189.383385043674
58,-14063.0,0.7477194593032545,3185.32033428616
59,-17724.0,0.7439808620067382,3083.724205271403
60,-24899.0,0.7402609576967045,3065.9418611314563
61,-21216.0,0.736559652908221,3125.3953030904136
62,-17033.0,0.7328768546436799,3113.499643113878
63,-18386.0,0.7292124703704616,3200.2110125223794
64,-16092.0,0.7255664080186093,3064.1011745029027
65,-22679.0,0.7219385759785162,3074.0788604736326
66,-16242.0,0.7183288830986236,3155.6709788852268
67,-13595.0,0.7147372386831305,3071.981521352132
68,-17240.0,0.7111635524897149,3042.695159827338
69,-16220.0,0.7076077347272662,2993.0216148376467
70,-23122.0,0.7040696960536299,2977.034202829997
71,-17112.0,0.7005493475733617,3042.9894735548232
72,-18748.0,0.697046600835495,2986.9480862087676
73,-14196.0,0.6935613678313175,2963.845110575358
74,-13723.0,0.6900935609921609,2929.3190776401098
75,-22703.0,0.6866430931872001,2991.768214670817
76,-15540.0,0.6832098777212641,2961.08325636122
77,-13525.0,0.6797938283326578,2815.257090335422
78,-20154.0,0.6763948591909945,2922.9564164903427
79,-13342.0,0.6730128848950395,2917.662288411458
80,-11086.0,0.6696478204705644,2864.2377031114365
81,-14560.0,0.6662995813682115,2800.169883304172
82,-24092.0,0.6629680834613705,2921.3543309529623
83,-12068.0,0.6596532430440636,2814.100919681125
84,-19158.0,0.6563549768288433,2907.304294670953
85,-23764.0,0.653073201944699,2784.1564046223957
86,-16645.0,0.6498078359349755,2943.7008550008136
87,-12852.0,0.6465587967553006,3083.717488606771
88,-23724.0,0.6433260027715241,2958.769345431858
89,-12728.0,0.6401093727576664,3046.340590922038
90,-17137.0,0.6369088258938781,3088.2361543443467
91,-12365.0,0.6337242817644086,2923.792500474718
92,-14968.0,0.6305556603555866,3154.0829545762804
93,-16872.0,0.6274028820538087,3106.9652419196236
94,-18742.0,0.6242658676435396,3191.2385212368436
95,-13794.0,0.6211445383053219,3213.3108389960394
96,-10697.0,0.6180388156137953,3079.6393764071995
97,-20233.0,0.6149486215357263,3285.8509442647296
98,-15132.0,0.6118738784280476,3455.1540524800616
99,-15047.0,0.6088145090359074,3238.9075978597007
100,-10651.0,0.6057704364907278,3313.885472530789
101,-12859.0,0.6027415843082742,3185.722080061171
102,-11314.0,0.5997278763867329,3344.845037926568
103,-14537.0,0.5967292370047992,3301.2959349738226
104,-16838.0,0.5937455908197752,3177.3838337368434
105,-11569.0,0.5907768628656763,3240.4868192884655
106,-13792.0,0.5878229785513479,3052.8711549546983
107,-16330.0,0.5848838636585911,3283.52543381585
108,-12120.0,0.5819594443402982,3296.9448852115206
109,-9238.0,0.5790496471185967,3254.087924618191
110,-11838.0,0.5761543988830038,3255.6563214619955
111,-12706.0,0.5732736268885887,3415.37352303399
112,-11713.0,0.5704072587541458,3398.7752605014375
113,-12708.0,0.567555222460375,3396.883738115099
114,-12059.0,0.5647174463480732,3534.95245674981
115,-10786.0,0.5618938591163328,3444.2956333584257
116,-11625.0,0.5590843898207511,3414.2842283460827
117,-23409.0,0.5562889678716474,3454.4807963053386
118,-17559.0,0.5535075230322891,3513.6779675801595
119,-11631.0,0.5507399854171277,3506.577703518338
120,-12754.0,0.547986285490042,3446.1873709784613
121,-11482.0,0.5452463540625918,3466.3388864305284
122,-10871.0,0.5425201222922789,3739.196442074246
123,-12077.0,0.5398075216808175,3656.0485235426163
124,-10329.0,0.5371084840724134,3714.1742019229464
125,-14947.0,0.5344229416520513,3666.798477766249
126,-11470.0,0.531750826943791,3615.816732872857
127,-10490.0,0.5290920728090721,3671.545812140571
128,-11589.0,0.5264466124450268,3694.0261542426215
129,-13992.0,0.5238143793828016,3506.476952531603
130,-13879.0,0.5211953074858876,3667.7177894592287
131,-10675.0,0.5185893309484582,3530.403790198432
132,-15730.0,0.5159963842937159,3783.3623737759062
133,-14492.0,0.5134164023722473,3779.7490952385797
134,-11848.0,0.510849320360386,3768.5833718193903
135,-7449.0,0.5082950737585841,3681.7155591328938
136,-8215.0,0.5057535983897912,3793.1987276713053
137,-8307.0,0.5032248303978422,3763.095667690701
138,-10201.0,0.500708706245853,3842.5293333265518
